sample,encoder,seed,split_axis,split_side,ratio,model,gene_set,n_train,n_test,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HHDX011,resnet50,0,x,high,1.0,train_mean,top200_hvg,8912,2400,200,-1.1830372087295874e-07,,-0.0043196214696001,0.2750072479248047,0.1387629210948944,0.7141314302068481,0.045,0.955,0.5,0.0361993990726083,0.1094583333333333
HHDX011,resnet50,0,x,high,1.0,train_mean,marker_hvg_overlap,8912,2400,171,-1.34366718879347e-07,,-0.0048221967483987,0.2766627073287964,0.1374684423208236,0.7320389627393573,0.0409356725146198,0.95906432748538,0.5,0.034069881841428,0.1072685185185185
HHDX011,resnet50,0,x,high,1.0,coordinate,top50_hvg,8912,2400,50,0.0584959296351007,0.0506605736672947,-0.018189150491089,0.4779948890209198,0.3454809486865997,0.7234225395583395,0.219900043909285,0.7945789339705694,0.5072394889399272,0.1875333211191376,0.3257401197561799
HHDX011,resnet50,0,x,high,1.0,coordinate,top200_hvg,8912,2400,200,0.0200903349019972,0.0167834142088031,-0.0165456708046986,0.2764813005924225,0.1337402015924453,0.7116025687373774,0.0549750109773212,0.9486447334926424,0.5018098722349819,0.0468833302797844,0.1178005686167579
HHDX011,resnet50,0,x,high,1.0,coordinate,marker_hvg_overlap,8912,2400,171,0.0199533043538948,0.0163327004296711,-0.0175930305414905,0.2782763540744781,0.1321878731250763,0.7298237979169253,0.0513827498468589,0.952536836283264,0.5019597930650616,0.0447443948158745,0.1154702324694149
HHDX011,resnet50,0,x,high,1.0,image,top50_hvg,8912,2400,50,0.2105988236609846,0.1901257837685198,0.0410877370624803,0.4267565011978149,0.3135186433792114,0.7342427311628584,0.2485275972933452,0.8425824406711014,0.5455550189822234,0.2555447222659244,0.3788165846925972
HHDX011,resnet50,0,x,high,1.0,image,top200_hvg,8912,2400,200,0.0855248090418172,0.0753584474697364,-0.01239242456184,0.2547591626644134,0.1291666328907013,0.7197744180048722,0.064995333276678,0.9605290609633236,0.5127621971200008,0.0672447630692496,0.1413415778272538
HHDX011,resnet50,0,x,high,1.0,image,marker_hvg_overlap,8912,2400,171,0.0839674693797115,0.0726756967638496,-0.0142830955712206,0.2540555894374847,0.1278146356344223,0.7381886862201853,0.0628516700425989,0.9628024401058888,0.5128270550742438,0.0658379095051334,0.1380506767958956
HHDX011,resnet50,0,x,high,1.0,spatial_knn,top50_hvg,8912,2400,50,-0.0024943807069212,-0.0057187004503245,-0.2196212741732597,0.5314375758171082,0.3580845892429352,0.6744344391435938,0.2346985735132317,0.762340697732717,0.4985196356229743,0.2249108682401323,0.3070724927055227
HHDX011,resnet50,0,x,high,1.0,spatial_knn,top200_hvg,8912,2400,200,-0.0029768512902766,-0.0033581730233272,-0.154898145836778,0.3038350343704223,0.1368006616830825,0.664236575295201,0.0595252839848499,0.939959337109851,0.4997423105473505,0.0575312938222408,0.1103314511861858
HHDX011,resnet50,0,x,high,1.0,spatial_knn,marker_hvg_overlap,8912,2400,171,-0.0032251914429744,-0.0032416879968506,-0.158641860754997,0.3069269955158233,0.1366091519594192,0.6844200578668774,0.0596367308877473,0.9397893969429636,0.4997130639153556,0.0575401109699126,0.1081626447882004
